ID,Business,Year_Of_Commitment ,Guaranteed_Approved _Loan,Borrower_Name ,Low_Documentation_Loan,Demography,ChargedOff_Amount ,Count_Employees,Classification_Code ,Loan_Approved_Gross,Gross_Amount_Disbursed  ,Loan_Term,Code_Franchise,Name_Of_Bank,Revolving_Credit_Line,Target
6923,Existing,2007,Rs.609600.0,nichaolas o ricci dba afab,No,Urban,Rs.1209121.28,1,238350,Rs.1219200.0,Rs.2062154.8800000001,2,0,CSB Bank Limited,Yes,1
6924,Existing,1989,Rs.52019200.0,"FEATHERLITE MFG., INC.",No,Undefined,Rs.0.0,277,336212,Rs.65024000.0,Rs.65024000.0,126,0,City Union Bank Ltd.,No,0
6925,Existing,2005,Rs.2032000.0,William Mattice dba Will-Rich,No,Urban,Rs.0.0,5,454210,Rs.4064000.0,Rs.14150360.32,126,1,Fincare Small Finance Bank Ltd.,Yes,0
6926,Existing,1993,Rs.3657600.0,BLAZERS ALL AMERICAN BARBEQUE,No,Undefined,Rs.0.0,5,0,Rs.4064000.0,Rs.4064000.0,116,10523,Odisha Gramya Bank,No,0
6927,New,2004,Rs.1381760.0,THE OASIS SALON INC.,Yes,Rural,Rs.0.0,8,812112,Rs.1625600.0,Rs.1625600.0,90,1,Standard Chartered Bank,0,0
6928,Existing,2004,Rs.25196800.0,"OANDASON REALTY, INC.",No,Urban,Rs.0.0,11,531210,Rs.25196800.0,Rs.25034240.0,360,1,Aryavart Bank,0,0
6929,Existing,2000,Rs.4226560.0,VIDEO OUTLET,No,Urban,Rs.5101701.76,4,532230,Rs.5283200.0,Rs.5283200.0,165,1,Tamilnad Mercantile Bank Ltd.,0,1
6930,Existing,2007,Rs.812800.0,"ADAPTIVE CONSULTANTS,LLC",No,Urban,Rs.1625600.0,2,561990,Rs.1625600.0,Rs.2438400.0,24,0,CSB Bank Limited,Yes,1
6931,Existing,2008,Rs.3210560.0,"Pentec Vending Services, LLC",No,Urban,Rs.6421120.0,3,454210,Rs.6421120.0,Rs.10810240.0,93,0,ICICI Bank Ltd.,No,1
6932,Existing,1995,Rs.5465267.2,TIRE SPECIALISTS INC,No,Undefined,Rs.0.0,10,0,Rs.6664960.0,Rs.6664960.0,126,1,HDFC Bank Ltd,No,0
6933,Existing,2011,Rs.77255827.2,Anthony DeSantis CPA LLC,No,Urban,Rs.0.0,7,541211,Rs.85839808.0,Rs.85839808.0,180,0,IDBI Bank Limited,No,0
6934,Existing,1995,Rs.1280160.0,"SOLAR SMART, INC.",Yes,Undefined,Rs.0.0,3,0,Rs.1422400.0,Rs.1083787.52,54,1,Utkal Grameen Bank,No,0
6935,Existing,2005,Rs.21067776.0,HIMES SERVICE CENTER INC,No,Urban,Rs.0.0,17,811111,Rs.28090368.0,Rs.28090368.0,180,1,Dhanlaxmi Bank Ltd.,0,0
6936,Existing,2001,Rs.6502400.0,"INTEGRITY AUTO REPAIR, INC.",No,Urban,Rs.0.0,7,811111,Rs.8128000.0,Rs.8128000.0,99,1,Capital Small Finance Bank Ltd,No,0
6937,Existing,2004,Rs.406400.0,TRACKER SYSTEMS INC,No,Urban,Rs.0.0,11,453998,Rs.812800.0,Rs.812800.0,126,1,ICICI Bank Ltd.,Yes,0
6938,Existing,1997,Rs.5787136.0,"TRIPLE A SEEDS, INC.",Yes,Undefined,Rs.0.0,2,0,Rs.7233920.0,Rs.7233920.0,126,1,DCB Bank Ltd.,No,0
6939,New,2008,Rs.1036320.0,Locum Talent Consulting Llc,No,Urban,Rs.0.0,2,561320,Rs.1219200.0,Rs.1219200.0,126,0,Tamilnad Mercantile Bank Ltd.,No,0
6940,Existing,2009,Rs.40599360.0,"BENEFIT RESOURCE GROUP, LLC",No,Urban,Rs.0.0,4,523999,Rs.45110400.0,Rs.45110400.0,126,0,Woori Bank,No,0
6941,New,1998,Rs.4551680.0,CYBER EXCHANGE,Yes,Undefined,Rs.3928831.36,2,443120,Rs.5689600.0,Rs.5689600.0,60,21660,CSB Bank Limited,No,1
6942,New,2002,Rs.10363200.0,"SINGH'S STORES, INC.",Yes,Urban,Rs.0.0,5,445120,Rs.12192000.0,Rs.12192000.0,180,1,Capital Small Finance Bank Ltd,0,0
6943,Existing,2005,Rs.6494272.0,"BEST PAWN OF ST. PAUL, INC.",Yes,Rural,Rs.0.0,3,453310,Rs.7640320.0,Rs.7640320.0,144,1,Bank of America,0,0
6944,New,1999,Rs.13716000.0,JOB AND MERCILESE PIERRE AND M,No,Undefined,Rs.0.0,6,812320,Rs.18288000.0,Rs.18288000.0,360,1,National Housing Bank,0,0
6945,Existing,2001,Rs.83068160.0,ECO:LOGIC ENGINEERING A CALIFO,No,Urban,Rs.0.0,38,541330,Rs.83068160.0,Rs.83068160.0,360,1,Jammu & Kashmir Bank Ltd.,0,0
6946,New,2002,Rs.3178048.0,WG OF SOUTHERN COLORADO LLC,Yes,Urban,Rs.1952589.44,1,561790,Rs.3738880.0,Rs.3535680.0,82,89634,IDBI Bank Limited,0,1
6947,Existing,2006,Rs.4064000.0,"3D WIN, INC.",No,Urban,Rs.8052165.76,6,541310,Rs.8128000.0,Rs.15524480.0,33,0,City Union Bank Ltd.,Yes,1
6948,Existing,2002,Rs.812800.0,LORIN T PARTRIDGE,No,Urban,Rs.0.0,1,235930,Rs.1625600.0,Rs.1625600.0,126,1,Dhanlaxmi Bank Ltd.,Yes,0
6949,Existing,2007,Rs.1422400.0,Miguel Gonzalez dba Aces Carpe,No,Urban,Rs.2682240.0,6,561740,Rs.2844800.0,Rs.5283200.0,81,0,ICICI Bank Ltd.,No,1
6950,Existing,1998,Rs.15849600.0,HAAGEN-DAZS ICE CREAM,No,Undefined,Rs.0.0,1,0,Rs.21132800.0,Rs.18694400.0,90,36355,Karnataka Gramin Bank,0,0
6951,New,2004,Rs.406400.0,Jerett Patterson dba Downroar,No,Urban,Rs.0.0,1,451220,Rs.812800.0,Rs.812800.0,126,1,ICICI Bank Ltd.,Yes,0
6952,New,2006,Rs.4145280.0,"Darden & Associates, LLC d/b/a",No,Urban,Rs.0.0,1,453220,Rs.4876800.0,Rs.4876800.0,126,0,National Housing Bank,No,0
6953,Existing,1997,Rs.45720000.0,"FLOORS, DOORS & MORE, INC.",No,Undefined,Rs.20302118.4,13,442210,Rs.60960000.0,Rs.60960000.0,194,1,Jharkhand Rajya Gramin Bank,No,1
6954,Existing,2007,Rs.609600.0,"ABS SURVEYS, LLC",No,Urban,Rs.0.0,1,541370,Rs.1219200.0,Rs.1219200.0,126,0,City Union Bank Ltd.,Yes,0
6955,Existing,2004,Rs.772160.0,SHUTTERBUG IMAGING,No,Urban,Rs.1379077.76,3,512240,Rs.1544320.0,Rs.1544320.0,112,1,Bandhan Bank Ltd.,Yes,1
6956,Existing,2009,Rs.98608896.0,"JHS MILLER HOLDINGS, INC.",No,Urban,Rs.0.0,27,562111,Rs.109565440.0,Rs.109565440.0,180,0,Capital Small Finance Bank Ltd,No,0
6957,New,2004,Rs.49255680.0,MARSHLAND MOBIL,No,Rural,Rs.0.0,1,447110,Rs.49255680.0,Rs.49255680.0,360,1,Puduvai Bharathiar Grama Bank,No,0
6958,New,2004,Rs.406400.0,Margaret J. Smith dba Doc's Di,No,Urban,Rs.812800.0,1,452990,Rs.812800.0,Rs.812800.0,106,1,ICICI Bank Ltd.,Yes,1
6959,New,2008,Rs.3458464.0,"Shuffle, Swing And Sway Inc.",No,Urban,Rs.0.0,2,611610,Rs.6916928.0,Rs.6916928.0,126,0,Dhanlaxmi Bank Ltd.,No,0
6960,Existing,1996,Rs.19669760.0,HORST & PATRICIA GRAU,No,Undefined,Rs.0.0,9,0,Rs.19669760.0,Rs.19669760.0,360,1,Nagaland Rural Bank,No,0
6961,New,1992,Rs.4389120.0,"LTI, INCORPORATED",No,Undefined,Rs.0.0,2,421310,Rs.4876800.0,Rs.4876800.0,126,1,Dhanlaxmi Bank Ltd.,No,0
6962,Existing,1996,Rs.1016000.0,E M MURRY ASSOCIATES AUCTIONEE,No,Undefined,Rs.1706961.28,4,0,Rs.2032000.0,Rs.2032000.0,10,1,IDBI Bank Limited,0,1
6963,Existing,2003,Rs.406400.0,BETTER BREATHING INC,No,Urban,Rs.0.0,4,541620,Rs.812800.0,Rs.812800.0,126,1,Ujjivan Small Finance Bank Ltd.,0,0
6964,Existing,1997,Rs.6177280.0,D D MASONARY INC,Yes,Undefined,Rs.3429284.48,14,235410,Rs.7721600.0,Rs.7721600.0,48,1,Dhanlaxmi Bank Ltd.,No,1
6965,Existing,1983,Rs.3820160.0,MARION PINKERTON/ARGO'S BODY S,No,Undefined,Rs.0.0,3,0,Rs.3820160.0,Rs.3820160.0,450,0,Karur Vysya Bank Ltd.,No,0
6966,Existing,1995,Rs.7136384.0,"DAWSON & ASSOCIATES, INC.",Yes,Undefined,Rs.0.0,3,233320,Rs.8128000.0,Rs.8128000.0,90,1,Fincare Small Finance Bank Ltd.,No,0
6967,Existing,2002,Rs.74676000.0,NOE'S MARKET & DELI,No,Urban,Rs.0.0,2,721110,Rs.99568000.0,Rs.99568000.0,432,1,Nainital bank Ltd.,0,0
6968,Existing,2003,Rs.13959840.0,MAIL BOXES ETC,No,Rural,Rs.9775708.16,2,453210,Rs.18613120.0,Rs.18613120.0,144,50564,India Post Payments Bank Ltd,0,1
6969,Existing,2004,Rs.4064000.0,SCORPIONS INC,No,Urban,Rs.8128000.0,2,424990,Rs.8128000.0,Rs.8128000.0,94,1,Saptagiri Grameena Bank,Yes,1
6970,New,1996,Rs.7132320.0,FLYER'S BAR AND DELI,No,Undefined,Rs.0.0,54,0,Rs.9509760.0,Rs.9509760.0,126,1,Jammu & Kashmir Bank Ltd.,0,0
6971,Existing,2009,Rs.6217920.0,"AHRENS EXERCISE PHYSIOLOGY, IN",No,Urban,Rs.6279367.68,3,812990,Rs.6908800.0,Rs.6908800.0,126,0,Federal Bank Ltd.,No,1
6972,Existing,2004,Rs.2763520.0,JJP CORPORATION,No,Urban,Rs.0.0,3,812320,Rs.3251200.0,Rs.3251200.0,54,1,Axis Bank Ltd.,0,0
6973,Existing,2007,Rs.10160000.0,T.C.'s Landscape Service Inc.,No,Urban,Rs.0.0,8,238990,Rs.20320000.0,Rs.20320000.0,90,0,IDBI Bank Limited,No,0
6974,Existing,2008,Rs.2032000.0,INNER CIRCLE MOVEMENTS CORP.,No,Urban,Rs.4012956.16,8,541614,Rs.4064000.0,Rs.4064000.0,114,0,Telangana Grameena Bank,Yes,1
6975,Existing,1997,Rs.22860000.0,LONDON CLEANERS,No,Undefined,Rs.9295262.08,15,812310,Rs.30480000.0,Rs.30480000.0,22,1,IDBI Bank Limited,0,1
6976,New,2003,Rs.19946112.0,GOLF USA,No,Urban,Rs.0.0,4,451110,Rs.26594816.0,Rs.26594816.0,126,34900,Dhanlaxmi Bank Ltd.,0,0
6977,Existing,1999,Rs.6096000.0,VEEJAY PLASTICS INC,No,Undefined,Rs.0.0,22,326199,Rs.12192000.0,Rs.12280757.76,124,1,Export-Import Bank of India,T,0
6978,Existing,1991,Rs.10403840.0,SAM'S ROTARY DRILLERS,No,Undefined,Rs.0.0,7,235810,Rs.13004800.0,Rs.13004800.0,270,1,Karur Vysya Bank Ltd.,No,0
6979,New,1989,Rs.4389120.0,JAMES A. NICHOLS,No,Undefined,Rs.0.0,1,532230,Rs.4876800.0,Rs.4876800.0,24,0,IDBI Bank Limited,No,0
6980,New,1994,Rs.7315200.0,"CASTLEMAN ENTERPRISES, INC.",Yes,Undefined,Rs.4450730.24,6,0,Rs.8128000.0,Rs.5678220.8,48,88200,CSB Bank Limited,No,1
6981,Existing,1983,Rs.6122822.4,TACO TIME,No,Undefined,Rs.6067795.84,25,0,Rs.6803136.0,Rs.6803136.0,126,0,IDBI Bank Limited,No,1
6982,New,2006,Rs.4064000.0,AIR COMMUNITY FUN CENTER,No,Urban,Rs.4267200.0,3,713990,Rs.8128000.0,Rs.28448000.0,2,1,CSB Bank Limited,Yes,1
6983,New,1993,Rs.6502400.0,"CHARLES C. MCCORMICK, M.D.",No,Undefined,Rs.0.0,2,0,Rs.8128000.0,Rs.8128000.0,180,1,Dhanlaxmi Bank Ltd.,No,0
6984,New,1999,Rs.406400.0,THE MORE WE GET TOGETHER DAYCA,No,Urban,Rs.0.0,4,624410,Rs.812800.0,Rs.879287.04,72,1,ICICI Bank Ltd.,Yes,0
6985,New,1998,Rs.5325465.6,SHAWNEE FITNESS CENTER,Yes,Undefined,Rs.0.0,2,713940,Rs.6656832.0,Rs.6656832.0,360,1,Arunachal Pradesh Rural Bank,0,0
6986,Existing,1999,Rs.2282342.4,WICKS & WAX,No,Rural,Rs.0.0,16,452990,Rs.2852928.0,Rs.2852928.0,90,1,National Australia Bank,No,0
6987,Existing,2006,Rs.6096000.0,WINSTON DAVIS & ASSOCIATES INC,No,Urban,Rs.0.0,14,541613,Rs.12192000.0,Rs.74108177.92,141,1,Bandhan Bank Ltd.,T,0
6988,New,2006,Rs.345440.0,IMANI GIFTS AND BEAUTY SUPPLY,No,Urban,Rs.327233.28,1,453220,Rs.406400.0,Rs.406400.0,122,1,FINO Payments Bank Ltd,0,1
6989,New,2001,Rs.4064000.0,MICHAEL E COHEN MD,No,Urban,Rs.0.0,1,621111,Rs.8128000.0,Rs.8128000.0,123,1,ICICI Bank Ltd.,Yes,0
6990,New,2004,Rs.15240000.0,AMCO FOOD SERVICES LLC,No,Urban,Rs.0.0,1,722110,Rs.20320000.0,Rs.20116800.0,270,1,Bank of Baroda,0,0
6991,Existing,2008,Rs.2032000.0,WWR PLACEMENT LLC,No,Rural,Rs.0.0,14,531390,Rs.4064000.0,Rs.4064000.0,90,0,Airtel Payments Bank Ltd,No,0
6992,Existing,2009,Rs.2032000.0,Wings of the World (WOW)Cafe &,No,Urban,Rs.4059773.44,6,722211,Rs.4064000.0,Rs.6753880.32,21,0,HDFC Bank Ltd,Yes,1
6993,Existing,2011,Rs.1625600.0,Big City Electric Inc,No,Urban,Rs.0.0,1,238210,Rs.3251200.0,Rs.5329610.88,126,0,Karur Vysya Bank Ltd.,Yes,0
6994,Existing,2007,Rs.406400.0,Ribellia Family Chiropractic,No,Urban,Rs.0.0,3,621310,Rs.812800.0,Rs.1706798.72,126,0,ICICI Bank Ltd.,Yes,0
6995,Existing,1998,Rs.406400.0,NEW WORLD SNACK SALES,No,Undefined,Rs.0.0,2,422450,Rs.812800.0,Rs.812800.0,126,1,Sonali Bank Ltd. %,Yes,0
6996,Existing,2006,Rs.406400.0,Jcomputers,No,Urban,Rs.797194.24,1,541511,Rs.812800.0,Rs.1428821.12,70,0,ICICI Bank Ltd.,No,1
6997,New,2007,Rs.824992.0,Crossways Auto Wholesaler,No,Urban,Rs.0.0,0,423120,Rs.1649984.0,Rs.1649984.0,126,0,Dhanlaxmi Bank Ltd.,No,0
6998,New,2007,Rs.690880.0,One World Caravan,No,Urban,Rs.791260.8,1,446120,Rs.812800.0,Rs.812800.0,108,0,Tamilnad Mercantile Bank Ltd.,No,1
6999,Existing,2004,Rs.812800.0,HANNAFORD'S PRINTING SERVICE,No,Rural,Rs.0.0,1,561439,Rs.1625600.0,Rs.1625600.0,126,1,City Union Bank Ltd.,Yes,0
7000,Existing,1992,Rs.2926080.0,GOLD RUSH SHIRT CO,No,Undefined,Rs.0.0,3,0,Rs.3251200.0,Rs.3251200.0,126,1,JSC VTB Bank,No,0
7001,New,1995,Rs.3291840.0,CARE-N-ELECTROLYSIS,Yes,Undefined,Rs.0.0,1,0,Rs.3657600.0,Rs.3319475.2,135,1,Sonali Bank Ltd. %,No,0
7002,Existing,1996,Rs.1625600.0,BROUSSARD PRINTING & OFFICE PR,Yes,Undefined,Rs.0.0,4,0,Rs.2032000.0,Rs.2032000.0,126,1,Subhadra Local Bank Ltd,No,0
7003,New,2010,Rs.292608.0,belden property services llc,No,Rural,Rs.0.0,2,561730,Rs.325120.0,Rs.325120.0,45,0,HDFC Bank Ltd,No,0
7004,New,1996,Rs.13228320.0,"MAINLAND CONCRETE, INC.",No,Undefined,Rs.0.0,14,327320,Rs.17637760.0,Rs.17637760.0,90,1,ICICI Bank Ltd.,No,0
7005,Existing,2005,Rs.650240.0,METRO HOME WORKS LLC,No,Urban,Rs.0.0,1,236118,Rs.1300480.0,Rs.3769685.12,126,1,Karur Vysya Bank Ltd.,Yes,0
7006,Existing,2005,Rs.731520.0,"Adams Artistry, Inc.",No,Urban,Rs.0.0,2,541921,Rs.1463040.0,Rs.1463040.0,126,0,ICICI Bank Ltd.,Yes,0
7007,New,2006,Rs.14224000.0,"Trend Evolution, LLC",No,Urban,Rs.0.0,1,423990,Rs.28448000.0,Rs.106476800.0,45,0,CSB Bank Limited,Yes,0
7008,Existing,2004,Rs.1422400.0,DELLECAVE EDUCATIONAL INSTITUT,No,Urban,Rs.0.0,63,611430,Rs.2844800.0,Rs.2844800.0,126,1,Subhadra Local Bank Ltd,0,0
7009,Existing,2004,Rs.764032.0,EMOND'S TRUCKING,No,Urban,Rs.0.0,1,484220,Rs.1528064.0,Rs.1292352.0,72,1,Karur Vysya Bank Ltd.,0,0
7010,New,2007,Rs.4104640.0,BOUNCE PARTY'S,No,Urban,Rs.0.0,9,713990,Rs.8209280.0,Rs.8209280.0,126,1,Kerala Gramin Bank,0,0
7011,Existing,1991,Rs.49743360.0,M.K. AM/PM AND BRENK'S,No,Undefined,Rs.0.0,10,0,Rs.62179200.0,Rs.62179200.0,432,1,Krung Thai Bank Public Co. Ltd. ,No,0
7012,Existing,1998,Rs.7620000.0,BOULEVARD BILLIARDS,No,Undefined,Rs.0.0,2,0,Rs.10160000.0,Rs.10160000.0,180,1,CSB Bank Limited,0,0
7013,Existing,2003,Rs.9814560.0,QUIZNO'S CLASSIC SUBS,No,Urban,Rs.8054522.88,4,722211,Rs.13086080.0,Rs.13086080.0,92,68020,Dhanlaxmi Bank Ltd.,0,1
7014,Existing,2005,Rs.1016000.0,DAVID R MCNEAL,No,Urban,Rs.1377614.72,3,561730,Rs.2032000.0,Rs.5295717.12,9,1,Karur Vysya Bank Ltd.,Yes,1
7015,Existing,2002,Rs.9753600.0,MICHAEL H & KAREN A COTE,No,Rural,Rs.0.0,3,233210,Rs.13004800.0,Rs.13004800.0,360,1,Equitas Small Finance Bank Ltd,0,0
7016,Existing,2007,Rs.406400.0,PIANO STUDIO,No,Urban,Rs.0.0,1,611699,Rs.812800.0,Rs.1503923.84,126,0,Karur Vysya Bank Ltd.,Yes,0
7017,Existing,2007,Rs.3048000.0,"SELENT,  INC.",No,Urban,Rs.3578839.68,8,238160,Rs.6096000.0,Rs.6096000.0,56,0,Subhadra Local Bank Ltd,No,1
7018,Existing,2006,Rs.1422400.0,STEVEN M. BOURGOIN DBA LOW OVE,No,Urban,Rs.0.0,3,442210,Rs.2844800.0,Rs.2844800.0,126,0,Subhadra Local Bank Ltd,No,0
7019,Existing,2004,Rs.2032000.0,Long Vinh Tran dba K.L.Jewelry,No,Urban,Rs.0.0,1,423940,Rs.4064000.0,Rs.4064000.0,126,1,ICICI Bank Ltd.,Yes,0
7020,Existing,1996,Rs.28346400.0,AMICI'S,No,Undefined,Rs.35499365.12,13,0,Rs.37795200.0,Rs.37795200.0,364,1,ESAF Small Finance Bank Ltd.,0,1
7021,Existing,1998,Rs.5201920.0,"MERAZ PALLETS, INC.",Yes,Undefined,Rs.0.0,3,321920,Rs.6502400.0,Rs.6502400.0,126,1,IndusInd Bank Ltd,No,0
7022,Existing,1989,Rs.3657600.0,HOME DELIVERY INCONTINENT SUPP,No,Undefined,Rs.0.0,6,454110,Rs.4064000.0,Rs.4064000.0,54,0,ICICI Bank Ltd.,No,0
7023,Existing,1989,Rs.3657600.0,"HOME TEAM PIZZA, INC.",No,Undefined,Rs.0.0,40,0,Rs.4064000.0,Rs.4064000.0,90,0,Nainital bank Ltd.,No,0
7024,Existing,2005,Rs.30480000.0,The Office People Trust,No,Urban,Rs.0.0,27,423210,Rs.40640000.0,Rs.40640000.0,126,1,Aryavart Bank,No,0
7025,New,2007,Rs.10972800.0,"02 Spa & Pilates, Inc.",No,Urban,Rs.13216534.4,1,812112,Rs.14630400.0,Rs.14630400.0,82,0,Aryavart Bank,No,1
7026,New,2004,Rs.4064000.0,"The Clemens Group, LTD.,",No,Urban,Rs.0.0,1,423220,Rs.8128000.0,Rs.6827032.32,126,1,HDFC Bank Ltd,No,0
7027,Existing,1990,Rs.11606784.0,TAIGA VENTURES,No,Undefined,Rs.0.0,8,721211,Rs.13655040.0,Rs.13655040.0,360,1,Dhanlaxmi Bank Ltd.,No,0
7028,Existing,2005,Rs.4064000.0,"OB-GYN OF MIDDLETOWN, P.C.",No,Urban,Rs.5938235.5200000005,7,621111,Rs.8128000.0,Rs.5938235.5200000005,76,0,City Union Bank Ltd.,No,1
7029,Existing,1994,Rs.48524160.0,M-S CASH DRAWER CORP.,No,Undefined,Rs.0.0,15,0,Rs.48524160.0,Rs.48524160.0,360,1,Suryoday Small Finance Bank Ltd.,No,0
7030,Existing,2007,Rs.1016000.0,CARTER'S HEATING & COOLING & A,No,Rural,Rs.568878.72,2,811411,Rs.2032000.0,Rs.4035633.2800000003,8,0,Karur Vysya Bank Ltd.,Yes,1
7031,Existing,2005,Rs.406400.0,COLLEGE FUNDING PROFESSIONALS,No,Urban,Rs.698439.04,2,514199,Rs.812800.0,Rs.812800.0,86,1,Tamilnad Mercantile Bank Ltd.,0,1
7032,Existing,2006,Rs.609600.0,La Estrellita,No,Urban,Rs.880668.8,4,445110,Rs.1219200.0,Rs.1806122.8800000001,15,0,ICICI Bank Ltd.,Yes,1
7033,New,1993,Rs.7315200.0,"EYESMART VISION CENTERS, INC.",No,Undefined,Rs.0.0,3,0,Rs.8128000.0,Rs.8128000.0,180,1,ICICI Bank Ltd.,No,0
7034,Existing,2005,Rs.11379200.0,ON-SITE SAWING,No,Rural,Rs.0.0,2,113310,Rs.22758400.0,Rs.22758400.0,126,1,IDFC FIRST Bank Limited,0,0
7035,New,2003,Rs.6908800.0,BOWTIES,Yes,Urban,Rs.0.0,18,722110,Rs.8128000.0,Rs.6096000.0,90,1,ICICI Bank Ltd.,0,0
7036,Existing,1991,Rs.17068800.0,COMMERCE PRINTING SERVICES,No,Undefined,Rs.0.0,17,0,Rs.20320000.0,Rs.20320000.0,126,1,IDBI Bank Limited,No,0
7037,Existing,1994,Rs.11338560.0,"DARYL'S AUTOMOTIVE, INC.",No,Undefined,Rs.0.0,5,811111,Rs.12598400.0,Rs.12598400.0,450,1,Jammu & Kashmir Bank Ltd.,No,0
7038,New,1999,Rs.17068800.0,BLARNEY STONE PERSONAL CARE,No,Undefined,Rs.20026579.2,22,0,Rs.22758400.0,Rs.22758400.0,224,1,RBL Bank Ltd.,No,1
7039,Existing,2007,Rs.56652160.0,"HUTTON BROWN, INC.",No,Urban,Rs.0.0,4,541940,Rs.56652160.0,Rs.56652160.0,360,1,Saptagiri Grameena Bank,0,0
7040,Existing,1983,Rs.5132019.2,PARKER'S CUSTOM STUDIOS,No,Undefined,Rs.943660.8,3,0,Rs.6258560.0,Rs.6258560.0,184,0,Dhanlaxmi Bank Ltd.,No,1
7041,Existing,2010,Rs.8128000.0,Pharma-Wholesale Corp,No,Urban,Rs.0.0,4,446110,Rs.16256000.0,Rs.23815040.0,126,0,Airtel Payments Bank Ltd,Yes,0
7042,New,2005,Rs.406400.0,"Aspirent Technologies, Inc.",No,Urban,Rs.0.0,7,445291,Rs.812800.0,Rs.812800.0,126,1,ICICI Bank Ltd.,T,0
7043,New,2006,Rs.3454400.0,Chopper's Monogramming,No,Urban,Rs.3362147.2,1,424310,Rs.4064000.0,Rs.4064000.0,86,0,Nainital bank Ltd.,No,1
7044,Existing,1991,Rs.33097216.0,"AMERICAN RING TRAVEL, INC.",No,Undefined,Rs.0.0,5,561510,Rs.41371520.0,Rs.41371520.0,450,1,IDBI Bank Limited,No,0
7045,Existing,2006,Rs.2032000.0,ALLTEMP MECHANICAL SOLUTIONS I,No,Rural,Rs.404286.72000000003,7,238220,Rs.4064000.0,Rs.4064000.0,12,1,ICICI Bank Ltd.,0,1
7046,New,2000,Rs.6502400.0,TRI-COUNTRY NEUROSURGICAL ASSO,Yes,Urban,Rs.0.0,4,621111,Rs.8128000.0,Rs.8128000.0,126,1,Shinhan Bank,0,0
7047,New,2006,Rs.1422400.0,"Tri City Pool and Spa, LLC, a",No,Urban,Rs.0.0,2,423910,Rs.2844800.0,Rs.2844800.0,90,0,Aryavart Bank,No,0
7048,Existing,2004,Rs.1219200.0,DAYTON MEDIA TECHNOLOGIES LLC,No,Urban,Rs.0.0,1,532490,Rs.2438400.0,Rs.5182575.36,114,1,IDBI Bank Limited,Yes,0
7049,Existing,1990,Rs.27245056.0,"INTERNATIONAL INTERIORS, INC.",No,Undefined,Rs.0.0,3,0,Rs.34056320.0,Rs.34056320.0,252,1,Jio Payments Bank Ltd,No,0
7050,Existing,1996,Rs.650240.0,"R & B ELECTRONICS, INC.",Yes,Undefined,Rs.0.0,1,0,Rs.812800.0,Rs.812800.0,90,1,IndusInd Bank Ltd,No,0
7051,Existing,1999,Rs.60959187.2,ACE STRUCTURE & TRANSPORTATION,No,Urban,Rs.0.0,7,0,Rs.110418880.0,Rs.108590080.0,450,1,Karnataka Gramin Bank,0,0
7052,Existing,2002,Rs.6096000.0,"G&D FLOOD&WATER DAMAGE SER,INC",No,Urban,Rs.1445889.92,9,561740,Rs.8128000.0,Rs.8011200.64,6,1,Rajasthan Marudhara Gramin Bank,No,1
7053,Existing,2004,Rs.22006560.0,LAKEWAY VETERINARY CLINIC P C,No,Urban,Rs.0.0,8,541940,Rs.29342080.0,Rs.29342080.0,450,1,ESAF Small Finance Bank Ltd.,0,0
7054,Existing,2006,Rs.406400.0,"Electro-Plating Service, Inc.",No,Rural,Rs.0.0,10,332813,Rs.812800.0,Rs.1491813.12,123,0,CSB Bank Limited,Yes,0
7055,Existing,2004,Rs.9073855.36,INTERNATIONAL LASER ENGRAVING,No,Urban,Rs.0.0,3,339999,Rs.10675152.64,Rs.9750917.76,126,1,Karnataka Bank Ltd.,No,0
7056,Existing,2005,Rs.2032000.0,"K.N.J. International Trading,",No,Urban,Rs.998524.8,14,424490,Rs.4064000.0,Rs.4064000.0,3,1,Bandhan Bank Ltd.,Yes,1
7057,Existing,1995,Rs.10707339.52,FREEDOM ENTERPRISES,No,Undefined,Rs.0.0,1,233210,Rs.14276425.6,Rs.14276425.6,18,1,RBL Bank Ltd.,,0
7058,Existing,2003,Rs.50556160.0,"EXPRESS FURNITURE, INC.",No,Urban,Rs.0.0,14,442110,Rs.50556160.0,Rs.50556160.0,360,1,National Bank for Agriculture and Rural Development,No,0
7059,Existing,1985,Rs.19100800.0,MCDONOUGH & ASSOCIATES,No,Undefined,Rs.0.0,11,0,Rs.19100800.0,Rs.19100800.0,450,0,Export-Import Bank of India,No,0
7060,Existing,2004,Rs.690880.0,TYSON & ASSOCIATES,No,Undefined,Rs.361370.88,1,448310,Rs.812800.0,Rs.812800.0,32,1,Tamilnad Mercantile Bank Ltd.,0,1
7061,New,1997,Rs.1625600.0,COFFEE HAVEN-A GENERAL PARTNER,Yes,Undefined,Rs.0.0,2,0,Rs.2032000.0,Rs.2032000.0,90,1,Karur Vysya Bank Ltd.,No,0
7062,New,2004,Rs.6908800.0,SUPER KATHY DISCOUNT OUTLET,No,Urban,Rs.0.0,2,452990,Rs.8128000.0,Rs.8128000.0,126,1,Export-Import Bank of India,0,0
7063,Existing,1995,Rs.7022592.0,CHEROKEE SPRINKLER SYSTEMS,No,Undefined,Rs.0.0,7,235110,Rs.7802880.0,Rs.7802880.0,450,1,Industrial Bank of Korea #,No,0
